muni,pov_rank,pop_rank,_population,value,measure,variable,model_t,dtype,level,min,gap
1061006,35,9,1,.10560545,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1061007,49,47,1,.016313605,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1061008,41,13,1,.0010021415,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1061009,42,46,1,.049135532,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1061010,50,44,1,.018542917,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071001,10,24,1,-.044089381,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071002,13,32,1,-.05824665,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071003,12,37,1,.01902039,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071004,3,41,1,-.098142423,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071005,3,19,1,-.0051960559,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071006,2,32,1,-.20598784,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071007,1,23,1,-.072585478,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071008,3,23,1,-.16791767,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071009,21,32,1,-.052975461,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071011,2,6,1,-.19864134,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071012,26,42,1,-.0012877205,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071013,5,31,1,-.078203097,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071014,1,38,1,-.091769904,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071015,7,42,1,-.11528903,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071016,8,17,1,-.11448444,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071017,14,41,1,-.0734782,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071018,1,9,1,-.11232992,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071019,20,46,1,-.055344585,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071020,3,37,1,-.15391919,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071021,8,24,1,-.011092965,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071022,1,24,1,-.10584071,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071023,1,50,1,-.067070819,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071025,3,3,1,-.032413092,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071026,1,48,1,-.051578809,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071027,26,43,1,-.062742434,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071028,5,7,1,-.1394694,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071029,31,7,1,.038282249,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071030,3,22,1,-.19409233,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071031,1,49,1,-.047547445,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071032,8,32,1,.0094745951,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071034,5,43,1,-.15632857,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071035,9,22,1,-.047086287,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071037,14,35,1,-.012077458,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071039,2,11,1,-.011253386,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071040,13,39,1,-.024307977,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071041,1,38,1,-.14632007,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071042,2,18,1,-.066484161,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071043,9,15,1,-.03356389,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071044,5,29,1,-.083641626,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071045,9,11,1,.053069137,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071046,8,35,1,-.020710032,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071047,2,40,1,-.020332238,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071048,22,30,1,.017675705,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071049,1,44,1,-.084263206,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071050,16,5,1,-.068046339,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071051,13,37,1,-.039027277,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071052,3,29,1,-.1103398,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071054,14,36,1,.038638931,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071055,14,15,1,-.15620957,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071057,4,36,1,-.13957769,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071059,7,32,1,-.096327953,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071060,1,15,1,-.044507258,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071061,16,45,1,.093245894,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071062,12,28,1,.062676221,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071063,15,2,1,-.039430432,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071064,1,10,1,-.062679075,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071065,15,35,1,-.055921067,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071066,1,28,1,-.037260272,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071067,2,12,1,-.055386335,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071068,20,36,1,-.0024805807,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071069,11,47,1,-.0029607313,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071071,9,36,1,.009651293,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071072,4,16,1,-.088941365,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071073,5,8,1,-.15595658,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071074,41,36,1,-.0022935073,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071075,5,33,1,-.063790381,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071076,2,16,1,-.048030231,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071077,6,14,1,-.016901106,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071078,26,48,1,-.069145121,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071079,29,44,1,.059297226,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071080,1,25,1,-.13955922,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071081,3,48,1,-.029576316,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071082,1,4,1,-.072981276,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071083,4,25,1,-.14723445,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071084,4,10,1,-.11137373,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071085,9,9,1,-.010592818,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071086,21,36,1,.057285037,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071087,17,42,1,.078918919,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071089,29,49,1,-.064768828,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071091,10,21,1,-.10169651,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071092,8,31,1,-.0063762134,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071093,1,46,1,-.074736431,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071094,4,41,1,-.0064969943,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071096,4,48,1,.0030496302,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071097,13,47,1,-.060717948,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071099,4,41,1,-.11004309,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071100,1,41,1,-.05970199,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071101,41,50,1,-.033455435,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071102,11,40,1,-.098724909,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071103,8,37,1,-.016268747,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071104,9,22,1,-.12525041,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071105,3,26,1,-.22952671,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071106,5,37,1,-.11133767,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071107,6,42,1,-.17401269,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071108,15,42,1,-.078389063,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071109,8,33,1,-.091042347,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071111,1,49,1,.014415109,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071112,1,39,1,-.11861465,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071113,1,6,1,-.12953445,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071114,7,30,1,-.10294928,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071116,5,10,1,-.03005274,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1071117,1,10,1,-.23410957,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081001,44,21,1,.0083717685,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081002,48,29,1,.01111316,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081003,42,11,1,.029604211,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081004,49,27,1,.041976221,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081005,35,28,1,-.041767359,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081006,46,5,1,.086890914,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081007,17,26,1,.024428286,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081008,7,7,1,.072327554,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081009,31,21,1,.0083705289,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081011,45,36,1,-.0059520551,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081013,38,18,1,.0034969302,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081016,38,5,1,.0054247775,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081017,49,44,1,.019474352,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081018,35,1,1,.03987233,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081019,50,50,1,.021810984,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081020,23,12,1,.13669707,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081021,48,45,1,.0092905359,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081022,25,1,1,.036575232,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081023,37,4,1,-.0043041902,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
1081025,38,7,1,-.0056962809,Bias,bias_gb_census,XGboost,Census agg.,Municipality,,
