muni,bias_gb_census, bias_gb_gis,bias_gb_all,bias_gb_psu,bias_bart_census,bias_bart_gis,bias_bart_all,bias_bart_psu,bias_rf_census,bias_rf_gis,bias_rf_all,bias_rf_psu,bias_lasso_census,bias_lasso_gis,bias_lasso_all,bias_lasso_psu,bias_ols_census,bias_ols_gis,bias_ols_all,bias_ols_psu,bias_gb_hhid_demo,bias_gb_psu_wc,bias_gb_gis_ntl,bias_gb_all_ntl,bias_eb,bias_uc
1011001,-0.0010416612793776314,0.07829857743062223,0.003800131538622256,0.008192410870040995,-0.008681628801669936,0.0804541385578768,0.002551141219333558,0.0069216175388144285,-0.006241305373471284,0.05079098890293353,-0.003135989339204337,0.004699458764219525,-0.026513097533371992,0.11032476641867285,-0.02158144591587155,-0.009284915512824662,-0.1847508166158806,0.17744429873188383,0.03714202920240191,-0.17621874634146245,-0.07797186357345018,-0.006029170490225194,0.03310975684062223,0.0025999673786222255,0.027038380292477085,-0.0067512012586230415
1011002,-0.022155571245717737,-0.046260557985717626,-0.015569008025717618,-0.03917307894128633,-0.02884583759425091,-0.026091714655625098,-0.017638417294552122,-0.037497396545716405,-0.014708830853641913,-0.04546297569360455,-0.013804646018883288,-0.035958387551898896,-0.05306010997505728,-0.08459453359696376,-0.050853642729058596,-0.05441083851449305,-0.24858743697875813,0.04379154659117962,-0.03058788698410478,-0.23111709975331735,-0.2159222288693275,-0.03324261894851424,-0.02958794098571743,-0.015927597865717347,0.028239038939471356,-0.023939297531855117
1011003,-0.0183304225516058,-0.03033183757160604,-0.02042975347160597,-0.04189335977619671,-0.04395095115427336,-0.032524446628961146,-0.050716177513559085,-0.04901473258881017,-0.02601807432536249,-0.03038728830236062,-0.022307826844022577,-0.04310015906464171,-0.06052833045573908,-0.001276519856117625,-0.05998651757745363,-0.0748722584563466,-0.31127135927360333,-0.004027906017009419,-0.046353180775649816,-0.28216764584874277,-0.21039092252847585,-0.02401164280251028,-0.03459031273160612,-0.025365015391605794,0.004742881313803082,-0.03575021301952074
1011004,-0.019727414325327403,-0.005832534045327437,-0.010188978205327076,-0.02710223499699202,-0.024629022969723913,0.008472484663520075,-0.014802994207839648,-0.021251858037224486,-0.01535356234867391,-0.007551549046839273,-0.007606857483446611,-0.024367201863659732,-0.03046037782916325,-0.0629562982487254,-0.031133299861186986,-0.03923094416418543,-0.22058520453877326,-0.012808741090349046,0.0053380998836835,-0.22609272902597957,-0.2081424943566592,-0.027546356809436817,-0.03315694644532741,-0.017558198845327416,0.028405105579266093,-0.017809644509019562
1011005,0.011116504866657773,0.08771446952665779,0.018453766256657678,0.024630626893958923,0.018869548463041563,0.10036303230173799,0.038603048450346095,0.024729343326944264,0.00426707803133046,0.06394638408863362,0.00902324981328892,0.019637616874882163,0.005371215932623907,0.12127933103289357,0.011998203181994807,0.010712581402214899,-0.09491725654214686,0.05661573644406051,0.02277445017037849,-0.14923425194313292,-0.08968771742039075,0.005086430175394341,0.03575145510665767,0.0181858201526576,0.040390464593074285,0.006366633636668212
1011006,0.011810081387777172,0.05531952480177685,0.013762149549777003,0.005104530006240088,0.010957497725470472,0.04421396964618521,0.00574681306323005,0.005769077939578315,0.003294216716743986,0.03777125025581962,-0.0002507665086483035,0.002506693376909064,-0.0036619377742028725,0.03287635164353134,0.004117290963758319,-0.002718401606412485,-0.14846940432527966,0.062378959588643895,0.025572264555993623,-0.15732369631773924,-0.1335959487454923,-0.004820650642140545,0.02254783298377705,0.010118685463776977,0.04146214378697914,-0.0005391636803688016
1011007,-0.04544928831766634,-0.04687593861766634,-0.04151082321766639,-0.05730743828106555,-0.06092339634931207,-0.04499445046636774,-0.056967689849298536,-0.05686144648353336,-0.042799834853097796,-0.05198928532105429,-0.039333173724493686,-0.05939300197038011,-0.06597248402077785,-0.051810928791895555,-0.06725072551470734,-0.06424959615554274,-0.17824808097931766,-0.02568158935144149,-0.054572557351971,-0.21497214871115847,-0.21753451858693143,-0.04873143100182192,-0.060117180857666375,-0.046501406169666415,0.015625367338448996,-0.04169877628399991
1011008,-0.008035463634953555,0.03201929736504622,-0.0023033316149536076,-0.01677186934081215,0.0004395470913610422,0.022254299059563276,-0.010000308596110369,-0.005317533556163018,-0.005848964275862761,0.029190008929940003,-0.004955871051284533,-0.014206133764314538,-0.029723008156827657,0.043217678525207054,-0.02304271982857861,-0.040722671748382705,-0.15770833458585828,0.03445136681624844,-0.012584565802019915,-0.2022917130295349,-0.19457625025725464,-0.018802416795794585,0.016485026805046404,0.003294860645046277,0.02859971506978036,-0.03133404396513652
1011009,0.03119885977142342,-0.023173582574576884,0.026776743251423457,0.006693909260370223,0.030417808511646133,-0.04043578461450939,0.022441992686842077,0.008284175077044237,0.027279612914370782,-0.025137133936097705,0.022301379510021285,0.0030727687616049493,0.010052796570315325,-0.05965654947354235,0.010710365491761409,-0.009520854486239239,-0.18247856157301903,-0.040657209397833544,0.026444344706301,-0.18532453950246716,-0.178928605313093,0.00983264494152744,-0.03141443846057673,0.014271935051423101,0.03685115270771439,-0.007963932618571562
1011010,0.03743216565204971,-0.004381262047950113,0.04185823923204951,0.005555739930497738,0.04148434914025717,0.01825793450495239,0.053967198729962196,0.011764085977620825,0.027043118235459962,0.0023841425666475125,0.03916451118019226,0.002053778607084805,-0.00658354064914457,-0.05284774630939287,-0.008410620776438171,-0.01658659454313874,-0.20879710982150113,0.006802640688853778,0.04920781149201875,-0.20406197963259975,-0.15898782608695655,0.013554878728613828,0.01072987638404957,0.03332546323204966,0.029270001488548587,-0.023855115560283593
