muni,yhat_1,yhat_2,yhat_3
1211122,0.3197877,0.24840906,0.2932852
1211123,0.7128384,0.675748,0.63378894
1211124,0.32744083,0.29024142,0.29930043
1211125,0.19116472,0.15074871,0.19430737
1211126,0.36475828,0.464041,0.47071427
1211128,0.2552463,0.25808796,0.31802693
1211129,0.30213365,0.32814535,0.4049389
1211132,0.15748905,0.15294832,0.20147853
1211134,0.2956238,0.23589098,0.21873198
1211136,0.122965485,0.098934665,0.12888587
1211137,0.4489465,0.47338355,0.5038008
1211139,0.4227943,0.35357046,0.3458846
1211140,0.19558845,0.15355325,0.22060294
1211141,0.37154338,0.42654434,0.33019155
1211142,0.27514297,0.26042622,0.31704545
1211143,0.3065148,0.20683229,0.24182996
1211144,0.29133093,0.20861995,0.302651
1211145,0.74996394,0.7323733,0.7544592
1211147,0.49299327,0.5253056,0.46777868
1211148,0.42204368,0.41774976,0.45846552
1211149,0.2977745,0.28780386,0.29853484
1211150,0.57177085,0.6285371,0.48224655
1211151,0.33661056,0.28780776,0.30868757
1211152,0.3340696,0.3587346,0.3492951
1211153,0.3457586,0.24477287,0.35401016
1211154,0.21614547,0.24149723,0.21815242
1211155,0.37132815,0.33823872,0.387754
1211156,0.15605754,0.2050945,0.22700495
1211157,0.39400172,0.38917163,0.38373497
1211158,0.49897984,0.48457226,0.4278492
1211159,0.5409659,0.6671857,0.63881963
1211161,0.30500224,0.2660796,0.28575316
1211162,0.6463032,0.58516175,0.6199546
1211163,0.30389252,0.27093664,0.3644943
1211164,0.3170536,0.24700277,0.30020797
1211166,0.35638505,0.38878313,0.3787111
1211167,0.74996394,0.6842494,0.7665627
1211168,0.53716546,0.567306,0.52212876
1211169,0.3840302,0.3103186,0.33189538
1211170,0.42208385,0.3785969,0.46969467
1211171,0.28192785,0.23578197,0.26341775
1211172,0.3986707,0.48497635,0.47406906
1211173,0.14813119,0.14653243,0.12968317
1211174,0.15748905,0.13727269,0.14592282
1211175,0.32864025,0.31797513,0.33380818
1211176,0.40687174,0.34018558,0.3241812
1211177,0.43650004,0.48492807,0.39769575
1211178,0.7665298,0.6663061,0.79385966
1211179,0.38726985,0.41416156,0.43736276
1211180,0.3065148,0.2808438,0.3100146
1211181,0.34209445,0.2931804,0.3118736
1211182,0.38926286,0.4249959,0.47146198
1211183,0.7401631,0.66573817,0.6568672
1211184,0.642745,0.55659133,0.6043657
1211185,0.46801722,0.37316945,0.42644498
1211186,0.31235775,0.29103655,0.29088736
1211187,0.58778703,0.5875919,0.6271938
1211188,0.42948848,0.47961143,0.5719936
