sim_sample,gb_census_mun,gb_gis_mun,gb_all_mun,gb_census_psu,bart_census_mun,bart_gis_mun,bart_all_mun,bart_census_psu,rf_census_mun,rf_gis_mun,rf_all_mun,rf_census_psu,lasso_census_mun,lasso_gis_mun,lasso_all_mun,lasso_census_psu,ols_census_mun,ols_gis_mun,ols_all_mun,ols_census_psu,eb,uc
69,.1934647,.1977285,.193674,.1933628,.1932243,.1976043,.1932994,.1933516,.1932336,.1982832,.1934368,.1934249,.1932991,.2017108,.1934728,.1934744,.1973693,.1991832,.1938437,.1963332,.1933697,.1931885
70,.1932873,.1987968,.1938001,.1935738,.1930904,.1982468,.1932327,.1935496,.1933619,.1972153,.1941294,.1933429,.1935984,.201254,.1936935,.1938997,.1993241,.1995509,.1944237,.1963652,.1933363,.193475
71,.1939493,.1978384,.1934813,.1933075,.1936774,.1977198,.1932355,.193262,.193682,.1969979,.1940537,.1932352,.1934202,.2017165,.1934986,.193832,.1984863,.1996417,.1941557,.1950415,.193286,.1935762
72,.1934521,.1989678,.1938506,.1935474,.1936197,.1971851,.1934661,.1933875,.1935444,.196565,.1934263,.1933135,.1933931,.2019613,.1934776,.1936913,.1975497,.1986923,.1939179,.1954864,.1934251,.1930276
73,.1934997,.1978467,.1937733,.1934125,.1935797,.1973183,.1934794,.1933918,.1936185,.1980618,.193533,.1933795,.1937205,.2015415,.1938753,.1936341,.1976551,.1982653,.193985,.1952875,.1935311,.193403
74,.1934333,.1985618,.1932026,.1935054,.1929868,.1973026,.1932745,.1933023,.1932604,.1961904,.1934234,.1930633,.1934867,.2001557,.1935334,.1938309,.1972158,.1990959,.1936882,.1958949,.1935626,.1934125
75,.1935986,.1977078,.1937818,.1933632,.1934764,.1978583,.1935275,.1933567,.1936813,.1974485,.1934275,.1935595,.1936598,.2019003,.193783,.1935469,.1990429,.1991534,.1938365,.1957414,.1930086,.1935956
76,.1936439,.1977733,.1933834,.1935534,.1932907,.1978844,.1934072,.1934244,.1933469,.1969652,.1935791,.1935508,.1935567,.2013013,.1933898,.193696,.1980468,.1989849,.1940967,.1957578,.1934739,.1930293
77,.1936966,.1984053,.1938321,.193318,.1934395,.1980475,.1937962,.1933533,.1935567,.1976255,.1935825,.1934411,.1936174,.2026205,.1938258,.1935821,.1981666,.1992711,.1938163,.1962007,.1930825,.1938493
78,.1935711,.1973535,.1935578,.1937065,.1931722,.1977422,.1931323,.1935663,.1933364,.1982236,.1933783,.193181,.193639,.2010896,.1935827,.1937432,.1974181,.1988729,.1935787,.1959671,.1932767,.1933731
79,.1934657,.1976113,.1932247,.1929806,.1931179,.1975284,.193158,.1929948,.1930102,.1976695,.1929933,.1930504,.1932955,.2001439,.1934261,.1934249,.1968568,.1999779,.1942062,.1954024,.1928934,.1936457
80,.1938345,.1981283,.1935307,.193507,.1930401,.1973065,.1930592,.1931582,.193674,.1971483,.1937154,.193173,.1934963,.2002411,.1935111,.1936006,.1975707,.1995186,.1941238,.1956325,.1929628,.1933972
81,.1934792,.1980825,.193581,.1932638,.1935814,.1978964,.1933184,.1930914,.1935697,.1983504,.1943516,.1932469,.1936638,.2007452,.1934603,.1935524,.1964814,.1992147,.1939213,.1960843,.1931451,.1930973
82,.1928996,.196738,.1934061,.1931321,.1930685,.1975601,.1928629,.1929581,.1930598,.1973066,.1938429,.1931812,.1936288,.2019748,.1936626,.1933554,.1979434,.1994372,.1934404,.1953458,.1931764,.1935286
83,.1935793,.1973549,.1936882,.1933078,.1939417,.1973972,.193516,.193258,.1941667,.198227,.1939033,.1930573,.1936485,.2008997,.1936841,.1934749,.1977537,.1994735,.1940921,.1958166,.1931119,.1932709
84,.1934466,.197822,.1935116,.1929982,.1934377,.1976862,.1933495,.1933101,.193377,.1968996,.1934863,.1932124,.19366,.2016074,.1936705,.1935315,.1984801,.1993135,.1944451,.1958307,.1934709,.1934367
85,.1932015,.1989013,.1938045,.1933622,.1935132,.1977951,.1937514,.1932258,.1938027,.197476,.1940081,.193209,.1937545,.200099,.1934301,.193651,.199108,.1998266,.1938724,.1964759,.1934545,.1943052
86,.1935425,.1985177,.1936141,.1935199,.1934547,.1972413,.1934596,.1934513,.1937012,.1991016,.193604,.1933324,.1937408,.202349,.1938389,.1936143,.1981197,.1995425,.1937493,.1959929,.1932821,.1933528
87,.1934886,.1976631,.1933513,.1933242,.1931737,.197354,.1931866,.1932883,.193493,.1967259,.1935617,.1931076,.1933422,.2012406,.1933313,.1936045,.1967844,.1992667,.1936286,.1955706,.193046,.1936451
88,.1932196,.1972644,.1934597,.1932727,.1929839,.1986517,.1934841,.1930694,.1932876,.1971079,.1935869,.1930383,.193532,.2024568,.1936502,.1936721,.1970047,.1993324,.1941512,.19619,.1931102,.1933447
89,.1935641,.1976491,.1937076,.193444,.1932456,.1969188,.1935446,.1934192,.1932428,.1959719,.1932763,.1932485,.1935713,.2012444,.1935974,.1937452,.1963286,.1988831,.1938398,.1957666,.1930707,.194013
90,.1935475,.1982311,.1933822,.192935,.193206,.197714,.1931552,.19312,.1932324,.1966264,.1930801,.1931491,.1933502,.2016129,.1933175,.1934804,.1964011,.1990714,.1937772,.1954677,.1932858,.1931262
91,.193539,.1987919,.1935721,.1933379,.1934396,.1982317,.1933609,.1934552,.193654,.1992272,.1933111,.1934449,.1934236,.2009434,.1935611,.1936341,.1990612,.1986085,.1942089,.1961965,.1932185,.1934136
92,.1933689,.1970579,.1935039,.1933957,.1933115,.1974528,.1934724,.1932121,.1933183,.1967009,.1937219,.1931257,.1934204,.2013518,.1933717,.1938582,.197775,.1991291,.1940678,.1957083,.193144,.1935961
93,.1935378,.1967823,.193438,.1932086,.193308,.1978959,.1932325,.193353,.1935342,.197396,.193426,.1930733,.1935146,.2015674,.1936864,.1935353,.1969379,.1990365,.1936376,.1958119,.1934,.1935134
94,.1933619,.1973912,.1935428,.1934632,.1933142,.1977312,.1932801,.1932265,.1930566,.1969632,.1931303,.1934478,.1934698,.2018807,.1935365,.1934405,.1968675,.1994623,.1932931,.1959639,.1931531,.1934962
95,.1935034,.1969307,.1938123,.193123,.1934132,.1979902,.1935481,.1932988,.1931589,.1964706,.1932858,.1931263,.1935937,.2025464,.1934877,.1935374,.1967364,.1996104,.1939557,.1957238,.1930948,.1936906
96,.1933547,.1973108,.1934223,.1932733,.1931697,.1974173,.1932245,.1932231,.1933118,.1982457,.1934597,.1932904,.1932176,.2009964,.193296,.193499,.1979983,.1993494,.1933293,.1964103,.1933196,.1935596
97,.1934364,.1979863,.1935949,.1935319,.1930426,.1978859,.1932242,.1933078,.1933006,.1979286,.1935821,.1933483,.1931891,.2006403,.1933705,.1936855,.1985093,.1998836,.1936404,.1957312,.1930316,.193634
98,.1932528,.1974634,.1932385,.1932309,.193055,.1973744,.193134,.1932109,.1933272,.1972015,.1933453,.1931567,.1934917,.2015025,.1934316,.1935405,.1967926,.1986942,.1938104,.1957847,.1932556,.193822
99,.1935827,.1976821,.1938951,.1936076,.1934768,.1975445,.1935045,.1932424,.1934687,.1964791,.1940716,.1931648,.1938547,.2021896,.1937795,.1938724,.1967092,.1991887,.1940227,.1958409,.1931957,.1938497
100,.1937099,.1975778,.1938261,.1931678,.1936347,.1976598,.1935538,.1933012,.1936789,.1971121,.1934089,.1933334,.1936365,.2011042,.1936803,.1936383,.1975581,.1997066,.194032,.1957443,.1930903,.1932507
101,.1939446,.1974082,.1931978,.1934693,.1932737,.1983927,.1934132,.1933963,.1936558,.1971908,.1935278,.1933293,.1939014,.2014328,.1939247,.193758,.196439,.1998342,.1945463,.1960319,.1931593,.1937364
102,.1938491,.1977319,.1935824,.19329,.1933192,.1982737,.193327,.1933226,.1937093,.1968664,.193158,.1932671,.1934815,.2012157,.193392,.1935815,.1980219,.1995698,.1939425,.1964195,.1930034,.1931349
103,.1936433,.1965321,.1938521,.193382,.1934158,.1976437,.1933285,.1931601,.193475,.197062,.1935006,.1931107,.1933678,.201427,.1935767,.1935649,.1973937,.1991431,.1938939,.1959024,.1933097,.1930385
104,.1936304,.1972497,.1936567,.1933524,.1932726,.1984044,.193609,.1933051,.1936023,.1975882,.1934888,.193417,.1935424,.2015911,.1936277,.1936119,.1971693,.1998725,.1943277,.1958926,.1936805,.1931294
105,.1932788,.1976861,.1933223,.1934534,.1931916,.197503,.1931215,.193216,.1932595,.1985243,.1933793,.1934799,.1934627,.2007471,.1935239,.1935342,.1983269,.1998811,.1938894,.1953734,.1928789,.1940641
106,.1935732,.1971711,.1935971,.1937093,.1930646,.1970776,.193549,.1934088,.1933401,.1968465,.1936684,.1933674,.1936303,.2018336,.1936136,.1937579,.1965713,.1995092,.1941376,.1953443,.1937791,.1941616
107,.1935232,.1969861,.1935578,.1932992,.1933879,.1980725,.1934129,.1931865,.1933175,.1974689,.1937442,.1933009,.1935814,.2020015,.1934683,.1935404,.1968469,.1993224,.1935477,.1961885,.1929799,.1939892
108,.1936435,.197614,.1939144,.1935587,.1934842,.1977275,.1936151,.1933541,.1933846,.197014,.1938239,.1935261,.1936806,.2010818,.1937175,.1936731,.1981844,.1998034,.1940306,.1957107,.1934732,.1934877
109,.193405,.1976991,.1937545,.1931528,.1930854,.1980829,.19367,.1931935,.1939295,.1973339,.1938511,.1931178,.1938987,.2014108,.1936735,.19384,.1968525,.1989087,.1939402,.1951409,.1930606,.1930948
110,.193465,.1977926,.1935626,.1934601,.1935408,.1980028,.1934132,.1932762,.1933581,.1968777,.1934985,.1932219,.1936541,.2012018,.193675,.1934661,.1982201,.1992728,.1936878,.1962427,.1928997,.1930936
111,.1932033,.1972857,.1933636,.1933068,.1933945,.1976178,.1932971,.1933147,.1932666,.1972583,.193395,.1933359,.193448,.2011938,.1935075,.1935708,.1966072,.1993282,.1936379,.1960126,.1932862,.1937547
112,.1935162,.1978467,.1931966,.1931393,.193163,.1972525,.1931642,.1933114,.193324,.1989397,.1931966,.1932498,.1936141,.2015862,.1934249,.1934514,.1985355,.199949,.1935945,.1962982,.1930418,.1937679
113,.1933874,.1983679,.193413,.1933272,.1930753,.197417,.1933764,.1934059,.1936334,.1987209,.1940578,.1934072,.193416,.2014065,.1935933,.1934135,.1974852,.1994081,.194213,.1956621,.1935541,.1937694
114,.1933772,.1985916,.1937291,.1933715,.1931603,.1982991,.1935479,.1931223,.1934354,.1987755,.1935669,.1933943,.1936373,.2021551,.1937866,.1936577,.195877,.2001256,.1941111,.1953325,.1931637,.1933598
115,.193474,.1987408,.1933365,.1936302,.1931414,.1981369,.1931045,.1932946,.1933764,.1981515,.193277,.19345,.1933897,.2013161,.1932562,.1935587,.1968999,.1990502,.1939263,.1963008,.1933924,.1934626
116,.1934179,.1977815,.1934716,.1931957,.193427,.1973974,.1933816,.1934092,.1933883,.1966009,.1934233,.1932747,.1938462,.2010635,.1937297,.1938256,.1984016,.1991725,.1937081,.1957287,.1930719,.1936777
117,.1936484,.1985938,.1934495,.1932479,.1935675,.197375,.193714,.1931732,.1935091,.1968438,.1930682,.193449,.1937926,.2006228,.193656,.1936799,.198463,.1998927,.1939507,.1963823,.1930417,.1933957
118,.1933134,.1979448,.1933411,.1931356,.1931121,.1983209,.1936885,.193058,.1936571,.198962,.1935382,.1931715,.1934709,.2017509,.1936435,.1935376,.1976409,.1996383,.1940054,.1957767,.1931313,.1937554
119,.1935967,.1982867,.1938773,.1934696,.1934878,.1971421,.193409,.1933892,.1937145,.1965867,.193752,.193294,.1937265,.2017236,.1936277,.1936687,.1976546,.1987445,.1938268,.1953204,.1933352,.193561
120,.1933426,.1967584,.1932154,.1930007,.192986,.1983254,.1933345,.1931011,.1933252,.1969869,.1934042,.193309,.1934552,.2024587,.1931483,.1936422,.1984859,.1994906,.1935817,.1952925,.1931634,.1933365
121,.1932981,.1977659,.1932485,.1933238,.1930275,.197934,.1932021,.1932294,.1932248,.196808,.1936211,.1931647,.1934767,.2012465,.1933566,.1934202,.1979481,.1993269,.1935291,.1957364,.1930069,.1932173
122,.1934817,.1976718,.1934533,.1933299,.1934256,.197578,.1933679,.193176,.1936436,.1969587,.193601,.1932278,.1931369,.2016061,.193334,.1936757,.1967541,.1993592,.1935982,.1966418,.192924,.1933687
123,.1935735,.1977683,.1934373,.1930891,.1933081,.1977856,.1931686,.1931624,.193391,.1967288,.1932698,.1932444,.1933684,.2018783,.1933789,.1936777,.1976195,.1992019,.1934929,.195511,.193113,.1936475
124,.1934263,.1987907,.1934897,.1931565,.1930394,.19815,.193168,.1932402,.1934606,.1991237,.1930661,.1934353,.1932609,.2021336,.1934498,.1937005,.1972691,.1996069,.1935659,.1958918,.1927677,.1933633
125,.1933733,.1976468,.1936587,.1933009,.1929323,.1971617,.1931146,.1930965,.1930816,.1966203,.1931718,.193193,.1934849,.2000966,.1936058,.1933981,.1972193,.1994289,.1938038,.1953587,.1931607,.1936638
126,.1930865,.1979425,.1932316,.1934918,.1930512,.1980144,.1932567,.1931271,.1929441,.1976456,.1932511,.193056,.1936094,.2012637,.1935902,.193828,.1972033,.199821,.1939581,.1962745,.1935705,.19351
127,.1939221,.1985816,.1937723,.1932806,.1934943,.1981371,.193341,.1932964,.1933521,.1982358,.1931441,.1931841,.1936601,.2014998,.193629,.1934766,.1971195,.1994797,.1943696,.1964512,.1930637,.1934514
128,.1935623,.1983745,.1934215,.1934169,.1932627,.1975883,.1933742,.1934569,.1929788,.1967866,.1933337,.1933815,.1935272,.2016495,.1935096,.1939376,.1975693,.1986833,.193557,.1952114,.1933048,.193233
129,.1935583,.1966801,.1933262,.1933021,.1937196,.1982683,.1935073,.1931688,.1936618,.1988719,.1934629,.1932889,.1936365,.2009144,.1937017,.1935676,.1977159,.1990495,.1940133,.1962271,.193225,.1933937
130,.1936466,.1992314,.1939451,.1934973,.1933205,.1981004,.1936441,.1931924,.193876,.1993736,.1941402,.1934927,.1936022,.2019681,.1935847,.1936438,.1978756,.1997038,.1941342,.1965752,.1929719,.1940775
131,.1939858,.1967384,.1933483,.1934093,.193244,.197293,.1932523,.1932938,.1933801,.1964819,.1932261,.1932928,.1936925,.2007507,.1938426,.1936018,.198548,.1994345,.1942056,.1951791,.1934204,.1936264
132,.1932076,.1980144,.1933169,.193367,.1932583,.1966674,.1930273,.1932636,.1930424,.1973715,.1930002,.1932788,.1935466,.2016793,.193432,.1935603,.198074,.1999377,.1937779,.1958064,.1929666,.1940229
133,.1932422,.1966997,.1934681,.1934313,.1931648,.1977857,.193533,.1932051,.1931729,.1965908,.1935128,.1935382,.1933487,.2014879,.1937324,.1937259,.1982587,.1997956,.193959,.1964046,.1934933,.1931417
134,.1931582,.1977376,.1933303,.1931609,.1931143,.1980452,.1930536,.193171,.1932972,.1967138,.1936845,.1930256,.1934509,.2009007,.1934097,.1936494,.1969532,.1991039,.1937222,.1958421,.1930568,.1936794
135,.1931615,.197918,.1932349,.1931988,.1932105,.1978482,.1931858,.1932181,.1931076,.1975731,.1930072,.1933125,.1934421,.2020186,.193754,.1936765,.1967478,.1996457,.1940393,.1957927,.1931085,.193529
136,.1935296,.1965088,.1935125,.1933921,.1933066,.1979383,.1935349,.1931203,.193654,.1970308,.193517,.1933154,.1936535,.2009812,.1936436,.19365,.1973278,.198984,.1938981,.1957196,.1934369,.1935516
137,.1931205,.1980666,.1932599,.193285,.1930453,.1977513,.1931276,.1930103,.1929219,.1964642,.1929075,.1932982,.1932369,.2012694,.1933493,.1935867,.1975379,.1991979,.1936983,.196143,.1928451,.193562
138,.1932989,.1971155,.193294,.1934382,.1931793,.1969845,.193257,.1932113,.1932555,.1966731,.19334,.1932116,.1933077,.2012892,.1931836,.1935356,.1969832,.1983213,.193475,.1956537,.1933229,.1943828
139,.193361,.1975118,.1930501,.1935502,.1932838,.1978576,.1931292,.1934192,.193231,.1966571,.1938564,.1934357,.1933826,.2013267,.1938612,.1939045,.1983762,.1995488,.1936022,.1955533,.1930993,.1930774
140,.1934666,.1976435,.1940256,.1934326,.1931324,.1973739,.1936434,.1930677,.1935656,.1987197,.1938484,.1934281,.1935382,.2013703,.1937839,.1938384,.1972421,.1995525,.1942337,.1965965,.1931895,.1932299
141,.1935751,.1973705,.1938232,.1935128,.1934722,.1978185,.1935221,.1935808,.1935938,.1982559,.1938137,.1933651,.1934493,.2016075,.1935491,.1936753,.1959856,.1995359,.1940926,.1960148,.1928868,.193616
142,.193197,.1978061,.1934319,.1933443,.1932198,.1971129,.1932601,.1932768,.1933113,.1964872,.193256,.1932518,.1935366,.2007014,.1933719,.1935847,.19643,.1993248,.1934037,.1954654,.1929439,.1946276
143,.1932673,.1982134,.1933691,.1932235,.1932389,.1973792,.1932744,.1932373,.1934623,.196652,.1934818,.1932236,.1935449,.2013624,.1935665,.1934859,.197875,.1996083,.1937148,.1955273,.1933451,.1940841
144,.193375,.197924,.1938253,.1932967,.193525,.1977388,.193482,.1932165,.1935538,.19818,.1935084,.193089,.193528,.2005676,.1933607,.193638,.1970161,.1987384,.1936529,.1957241,.193306,.1932201
145,.1931974,.1969143,.1932973,.1933855,.1931897,.1969843,.1929541,.1931245,.1927024,.1964094,.1930083,.1932195,.1934106,.2016529,.1933702,.193568,.1961197,.1992223,.1937118,.1955844,.1934758,.1932835
146,.1933361,.19777,.1931754,.1933472,.1929696,.1969612,.1932005,.1933067,.192928,.1989355,.1932443,.1935237,.1935436,.2010485,.1936122,.1938804,.1981462,.1988193,.19378,.1952275,.19362,.1935613
147,.1932969,.197656,.1935566,.1932459,.1933708,.198301,.1932258,.1931711,.1929478,.1965032,.1935755,.1932575,.1938601,.2015815,.193793,.1935584,.1984891,.1998245,.1940746,.195547,.1930152,.1934206
148,.1934695,.1972599,.1936224,.1935377,.1933303,.1984171,.1935111,.1934291,.1936646,.1979814,.1932135,.1933729,.1935143,.200125,.1935776,.1935343,.1987936,.1995188,.1940534,.1961044,.1930388,.1938279
149,.1933832,.197393,.1933853,.1935451,.193313,.1979279,.193011,.1933254,.1932382,.1975463,.1933697,.1935763,.1934817,.2012639,.193381,.1935134,.1980349,.1991214,.1940027,.1961736,.1933896,.1936137
150,.1931625,.1975952,.1934862,.1935777,.1934573,.1977437,.1935976,.193377,.1935078,.2011817,.1935274,.193391,.1934699,.2004983,.1935924,.1936463,.1977759,.1991713,.1944039,.1952894,.1928302,.193496
151,.1934451,.1965784,.1936229,.193431,.1933511,.19736,.193351,.1932737,.1934265,.1966579,.1932666,.1933279,.193541,.2021579,.1936555,.1937187,.1969997,.1999315,.193897,.1952627,.1935412,.1934155
152,.1930431,.1980703,.1929533,.1933151,.1928135,.197333,.1928943,.1932142,.1929829,.1974677,.1933103,.1933456,.1933983,.2019948,.1931087,.1935909,.1974924,.1995229,.1933013,.1956489,.1934557,.1929981
153,.1934003,.1974534,.1935343,.1934223,.1932867,.1970228,.1932324,.1936095,.1932366,.1970094,.1935791,.1936234,.1937442,.2012433,.1937556,.1934869,.1985456,.1991044,.1940014,.1953614,.1929134,.1930603
154,.1932212,.1964703,.193359,.1929223,.1928716,.1975277,.1931857,.1930513,.1934589,.1962086,.1934277,.1934046,.1933492,.2016047,.1934395,.1936399,.196902,.199468,.1933349,.1956687,.1930425,.1930972
155,.1938431,.1980322,.1936913,.193309,.1934264,.1985639,.1939312,.1933409,.193849,.1989401,.1937971,.193212,.1937828,.2025491,.193688,.1938139,.1968617,.1998106,.1939898,.1960257,.1928664,.1933901
156,.1932097,.1970078,.1935925,.1935713,.1931571,.1978864,.1932932,.1932238,.1932199,.1973368,.1932612,.1932688,.193465,.2011942,.1934024,.1934877,.1988567,.1996851,.1939736,.1961643,.1930251,.1933855
157,.1932601,.1973849,.1935368,.1933576,.1930769,.19741,.1935918,.1933329,.1931168,.1971143,.1935874,.1933313,.1935725,.2026209,.1938665,.1936162,.1964453,.1994142,.1937641,.1955877,.1928765,.1929212
158,.1937992,.1970651,.1937856,.193464,.1933573,.1974458,.1935629,.1934724,.1931809,.1987759,.1937985,.1934749,.1935548,.2002507,.1936169,.1937233,.1982613,.1997186,.1940199,.195411,.1930082,.1932986
159,.1931815,.1986299,.1936725,.1933691,.1934059,.1977623,.1932333,.1934221,.1932979,.1973443,.1932973,.1931601,.1934869,.2008921,.1934475,.1936892,.197959,.2001979,.1942286,.1956867,.1929717,.1934966
160,.1935155,.1983712,.1934681,.1936579,.1936629,.198001,.193188,.1934649,.1934019,.1972361,.1934226,.193376,.1935651,.2019585,.1938626,.1936911,.1965664,.1985276,.193569,.1958705,.1930927,.1933378
161,.1934235,.1964778,.1932429,.1931345,.1932923,.1971672,.1934263,.1933758,.1933604,.1989394,.1934885,.193286,.1934409,.2024473,.1934996,.1938116,.1967,.1994299,.1941753,.1955877,.1931415,.1933331
162,.1936039,.1971069,.1935728,.1931907,.1930369,.1974588,.1932121,.1931263,.1934586,.1973988,.1930967,.1933344,.193518,.2011072,.193647,.1938092,.1982755,.2000931,.1941595,.1961092,.1927737,.1929458
163,.193542,.1968782,.1934894,.1934828,.1932502,.1980509,.1932672,.1932386,.1935701,.1968696,.1933112,.1932461,.1934917,.2012271,.1933779,.1935345,.1965029,.1990213,.1934156,.1959398,.1932477,.1933906
164,.1936894,.1983898,.1934258,.1935257,.1933128,.197843,.1936257,.1933722,.1937637,.1964525,.1933101,.1934531,.1935648,.200624,.1933567,.19379,.1974994,.199411,.1938165,.1962022,.1933345,.1932005
165,.1932059,.1973163,.1933883,.1933247,.1933029,.1970251,.1933334,.1933452,.1928972,.1970236,.1930316,.1932801,.1935971,.2004113,.1936416,.1935429,.1970555,.1998244,.1939237,.1955864,.193549,.1935514
166,.1932003,.1980205,.1932477,.1933625,.1931946,.1973407,.1931364,.1931307,.1932456,.1967995,.193775,.1933587,.1932845,.202131,.1934645,.1935319,.1978897,.200278,.1941102,.196547,.1928695,.1943586
167,.1938318,.1989285,.1935971,.1935759,.1934984,.198709,.1935125,.1933463,.1936751,.1981232,.19377,.1934325,.1933982,.2015438,.1935315,.1937462,.1974687,.199562,.194577,.1961117,.193306,.1936497
168,.1937519,.1986034,.1939946,.1934285,.1936325,.1985783,.1938621,.1934948,.1936975,.1977861,.1938212,.1935518,.1938073,.202351,.1938847,.193749,.1984171,.1998505,.1946051,.196744,.193172,.1944757
169,.1933251,.1973196,.193723,.1936569,.1932279,.1982899,.1934032,.1934395,.1935294,.1986848,.1936954,.1933778,.1935248,.2003873,.193346,.1935582,.1973582,.1996972,.1934338,.1949795,.193618,.1932442
170,.1937137,.1968432,.1938432,.1935031,.1936154,.1978156,.1936033,.1932891,.1936343,.1973795,.1936093,.1933855,.193747,.2020921,.1936843,.1937505,.1957972,.1987575,.1942602,.196059,.1929845,.1931323
171,.1932797,.1975941,.1936529,.1934256,.1933348,.1982136,.1932886,.1933669,.1935435,.1982932,.1936439,.1933967,.193753,.2007794,.19393,.1935807,.1976151,.1997416,.1938073,.1956374,.1934776,.1936484
172,.1934372,.1980857,.1934756,.1931939,.1932105,.1972786,.1931006,.1931504,.1931965,.1980522,.1929513,.1931078,.1936292,.2023652,.1932987,.193721,.1969108,.1992481,.193841,.1967519,.1932829,.1938692
173,.1936092,.1981897,.1937266,.1934161,.1938697,.1977998,.1936574,.1932427,.1937275,.1975786,.1937187,.193483,.1936304,.2007029,.1936909,.1935041,.1981967,.2003679,.1945484,.1964297,.1932474,.1932268
174,.1936263,.1984155,.1937303,.1937376,.1934853,.1978784,.1935286,.1932212,.1936221,.1969833,.1938051,.1935018,.1937804,.2010628,.1938655,.1940432,.1976441,.1995489,.1938858,.1950457,.1932341,.1931704
175,.1933153,.1977252,.1935107,.1933914,.1931522,.1979717,.193194,.1933037,.1931988,.1978443,.1935039,.1933112,.1934905,.2010919,.1935382,.1935849,.198811,.1993839,.1941417,.1963994,.1931879,.1938367
176,.1933927,.1983153,.1933105,.1934275,.1932986,.197722,.1933968,.1932415,.1933079,.1966784,.1935901,.1935076,.193695,.2012789,.1938266,.1936046,.1975109,.1995672,.1938093,.1962269,.1930566,.1940086
177,.193722,.1975408,.193719,.1932819,.1939082,.1980157,.1936739,.1934334,.193524,.1979631,.1934037,.1934339,.1938636,.2007239,.1936834,.1940562,.1976577,.1985778,.1939827,.1957666,.1930527,.1935236
178,.1935484,.1973885,.1936138,.193268,.193815,.1985121,.193541,.1933602,.1935889,.1969207,.1935525,.1933227,.1935662,.2017729,.1937229,.1936863,.1982513,.1987339,.193883,.1960353,.1930105,.1937506
179,.1934874,.1979943,.1936329,.1932871,.1934482,.1975109,.1933283,.1931883,.1934442,.1978542,.1933702,.1931568,.1934799,.2009654,.1935994,.1935166,.1963952,.1992586,.1937877,.1953902,.1932766,.1934254
180,.1933867,.1978583,.1933994,.1932316,.1933436,.1972573,.1930706,.1930985,.1929646,.1964025,.1931941,.1933689,.1932904,.2016523,.1934618,.1935212,.1959452,.1990764,.1939815,.1956171,.1932669,.1932344
181,.193315,.1968079,.1934709,.1939202,.1933218,.1979945,.1933738,.1935574,.193681,.1981179,.1934509,.1935272,.1934989,.2017998,.1935049,.1939087,.1968887,.1994116,.1942443,.1955126,.1934517,.1937378
182,.1932861,.1978573,.1934833,.1933775,.1931908,.197378,.193606,.1932757,.1932538,.1969337,.1933789,.193173,.1935042,.2020602,.1936974,.1938448,.1963547,.1993323,.1939392,.1955839,.1935204,.1936937
183,.193499,.1966092,.1936334,.1932502,.1932397,.1967558,.1930905,.1933187,.1932575,.1968184,.1933066,.1934718,.1934676,.2018342,.1936061,.1936607,.196539,.1987717,.1937447,.195872,.1932196,.1933163
184,.1940331,.1996872,.1937636,.1934825,.1936668,.1985744,.1937257,.1934681,.1938515,.1986061,.1938189,.1934019,.1939309,.2027949,.1940205,.193871,.1991612,.1994421,.1938937,.1955265,.1930568,.1933237
185,.1937166,.1987017,.1936072,.1934203,.1936186,.1971959,.1935108,.1935757,.1936203,.1986072,.1935951,.193583,.1935612,.2021687,.1937192,.1938835,.1966349,.1987396,.1942342,.1957374,.1931625,.1935347
186,.1939069,.1989289,.1935267,.1934129,.1930584,.1976364,.1933185,.1932477,.1930804,.1977687,.1936575,.1934312,.1933293,.2014993,.193387,.1935028,.1997552,.1996285,.1942385,.1957505,.1933502,.1931619
187,.1938,.1982017,.1938991,.1936191,.1938745,.1978921,.1937392,.1933523,.1936272,.1989356,.1936675,.1935306,.1941119,.2011699,.1937651,.1939723,.1990722,.1995049,.1943682,.1972228,.1936036,.193474
188,.1938412,.1986547,.1936736,.1933236,.1932397,.1980818,.1935466,.1931939,.1934415,.1975266,.1937612,.193274,.1934721,.2015911,.1934778,.193772,.1976721,.1995757,.1936807,.1952122,.1931098,.1936488
189,.1933416,.1976326,.1935667,.1932829,.193125,.1978751,.1931828,.1931394,.1933749,.1978917,.193578,.1931915,.19333,.2016014,.1931873,.1935197,.1960258,.1990821,.1937438,.1952079,.1933738,.1932343
190,.1934181,.1976155,.193569,.1933711,.1932178,.1977383,.1935183,.1933596,.1932801,.1969716,.1937026,.1936061,.1935523,.2006992,.1933699,.1937309,.1977206,.1996255,.1939255,.196014,.1933937,.1939744
191,.1936757,.1970931,.19352,.1935163,.1935292,.1971509,.193408,.1932585,.1934603,.197144,.1937106,.193507,.1933009,.2010381,.1933805,.1933843,.1964692,.2000593,.1940514,.1962329,.1936392,.1933131
192,.1938714,.1971671,.194054,.1931383,.1934178,.1974276,.1933893,.1931992,.1936603,.1976033,.1938022,.1933703,.1934725,.2003336,.1937986,.1935188,.1976368,.2001496,.1938109,.1965611,.1930226,.1931846
193,.1934089,.1976275,.193404,.1934805,.193427,.1978835,.1935587,.1934028,.1934527,.1963279,.193836,.1935055,.193624,.2013498,.193615,.193595,.196614,.1995453,.1942965,.1951928,.1935323,.1934821
