sim_sample,gb_census_mun,gb_gis_mun,gb_all_mun,gb_census_psu,bart_census_mun,bart_gis_mun,bart_all_mun,bart_census_psu,rf_census_mun,rf_gis_mun,rf_all_mun,rf_census_psu,lasso_census_mun,lasso_gis_mun,lasso_all_mun,lasso_census_psu,ols_census_mun,ols_gis_mun,ols_all_mun,ols_census_psu,eb,uc
479,.193359,.1958561,.1934388,.193365,.1928809,.1974696,.193212,.1933694,.1931241,.1969029,.1930561,.1930784,.1933352,.2010309,.1931996,.1935419,.195546,.1982271,.1934988,.195259,.1934023,.193287
480,.193371,.1976635,.1932992,.193201,.1934862,.1974155,.1933092,.1933275,.1934498,.196835,.193335,.1933463,.1938386,.2010169,.1936182,.1936021,.1982998,.1996143,.1941013,.1962068,.1929548,.1931283
481,.1936064,.1975735,.1936529,.193479,.1934063,.1972083,.1934974,.1934091,.1936314,.1971859,.193713,.1932124,.1935,.2007163,.1938258,.1939093,.1966422,.1995458,.1940562,.196066,.1933005,.1930437
482,.1931693,.1978669,.1934451,.1930141,.1929944,.1972284,.1930554,.193206,.1930255,.199082,.1932404,.1930424,.1933575,.2017493,.1934251,.1936078,.1985351,.1994734,.1936133,.1955739,.1930077,.1935183
483,.1935685,.1977654,.1937173,.1935133,.1936578,.1968288,.1936006,.1932971,.1937435,.1966685,.1935264,.1932028,.1936466,.2010541,.1939692,.1937477,.1962495,.1997605,.1939735,.1958721,.1930424,.1934105
484,.1936427,.1977975,.1937014,.1933189,.1934745,.1974745,.1932217,.1932059,.1933932,.1976909,.1940218,.1933625,.1935685,.2014349,.1935572,.1936852,.1986839,.1989842,.1937973,.1955934,.1931507,.1936389
485,.1935984,.1974229,.1935085,.1933726,.1934684,.1978287,.193457,.1933407,.193609,.1979801,.1938838,.1933759,.1934149,.2004448,.1933057,.1934638,.197471,.1989528,.1938637,.1958762,.1934885,.1934206
486,.1936588,.1977087,.1935496,.1933985,.1934569,.1974856,.1936503,.1933154,.1934405,.1969285,.1934666,.1934845,.1935325,.2016557,.1937439,.1938142,.1985483,.1996635,.1940815,.1961018,.1937044,.1936169
487,.1936723,.196828,.1935139,.1933375,.1934578,.1969788,.1936108,.1933126,.1937276,.1973337,.1935528,.193235,.1938847,.2014974,.1939518,.1935068,.1976279,.1994544,.194281,.1967701,.1932485,.193611
488,.1934274,.1974769,.1935523,.1931134,.1934334,.1971259,.1930692,.1932077,.1934992,.1960926,.1937877,.1930779,.1934913,.2020021,.1935527,.1934987,.1976736,.1990358,.1938433,.1958419,.193399,.1932388
489,.1932099,.1982482,.1934537,.1934586,.192905,.1970299,.1930429,.1933171,.1931837,.1993511,.1930998,.1933473,.1934044,.2010605,.1933961,.1935574,.1966879,.1996614,.1937038,.1961486,.1929314,.193609
490,.1935313,.1973586,.1935828,.1931161,.1933849,.1975951,.1932722,.1932882,.1933595,.1971454,.1932554,.1931039,.1936315,.2007743,.1935059,.1934879,.1980538,.1992226,.1936675,.1960707,.1930761,.1936234
491,.1935794,.1972526,.1934743,.1934953,.1931473,.1972807,.1932151,.1930972,.1935714,.1969596,.193252,.1934379,.1937281,.2014114,.1936973,.1937873,.1979932,.1996923,.1940923,.1957678,.1937241,.1935081
492,.1931867,.1971743,.1933904,.1930514,.1933887,.1976015,.1931146,.1930832,.1930244,.1982543,.1934831,.193164,.1937442,.2018135,.1935606,.1935879,.198532,.1998099,.1937848,.19594,.1932114,.1934368
493,.1932124,.1962869,.1934702,.1935276,.1934562,.1972745,.1935022,.1934264,.193245,.1971842,.1931907,.1933518,.1934578,.2015028,.1934205,.1936722,.1985794,.1995307,.194458,.1957209,.1930249,.1946319
494,.1933633,.1969646,.1933987,.193496,.193287,.1974375,.1932429,.1932107,.1935906,.1970278,.1935565,.1932338,.1935403,.2010363,.1934634,.1937384,.1975532,.199357,.1939429,.1955882,.1934788,.1937496
495,.1933515,.197163,.1934373,.1932579,.1932798,.1970214,.1933273,.1933226,.1934015,.1980213,.1933876,.1934498,.1934403,.2010835,.1933202,.1935679,.197555,.1993923,.1934267,.1956433,.1932313,.1939994
496,.1933538,.1966106,.1933493,.19334,.193078,.1975816,.1931641,.1932115,.1930237,.1971715,.1933499,.1933551,.1933442,.2017443,.1933739,.1936285,.1965331,.1995622,.1938902,.1959166,.1931912,.1930302
497,.1934758,.1987876,.1935785,.19324,.1933248,.1977331,.193731,.1931669,.1934074,.1973893,.1934309,.1932727,.1934438,.2018068,.1936869,.1935659,.1979126,.198863,.1938266,.1959462,.1929942,.1936044
498,.1934511,.1979183,.1934878,.1932423,.1934305,.1979957,.1931961,.1931588,.1932958,.1975497,.1931781,.1931783,.1935032,.2010467,.1933581,.1934618,.1973294,.1995032,.193289,.1962155,.1931858,.1932211
499,.1933285,.1972962,.1936399,.193339,.1932678,.1977726,.1934092,.1933552,.1933009,.1962648,.1940356,.1931883,.1933684,.2009699,.1934153,.1935649,.1969798,.1999728,.1936973,.1954513,.1932737,.1934741
500,.1932741,.1974394,.1932755,.1932407,.1930806,.1970493,.1929979,.1931635,.1930563,.1962042,.1933267,.19339,.1935632,.2021311,.1935821,.19369,.1967178,.1990746,.1933945,.1953642,.1931782,.1931073
