HID,HID_hhsize,HID_age_hh,HID_male_hh,HID_piped_water,HID_no_piped_water,HID_no_sewage,HID_sewage_pub,HID_sewage_priv,HID_electricity,HID_telephone,HID_cellphone,HID_internet,HID_automobile,HID_computer,HID_washmachine,HID_fridge,HID_television,HID_share_under15,HID_share_elderly,HID_share_adult,HID_max_tertiary,HID_max_secondary,HID_share_female,mun_code,mun_hhsize,mun_age_hh,mun_male_hh,mun_piped_water,mun_no_piped_water,mun_no_sewage,mun_sewage_pub,mun_sewage_priv,mun_electricity,mun_telephone,mun_cellphone,mun_internet,mun_automobile,mun_computer,mun_washmachine,mun_fridge,mun_television,mun_share_under15,mun_share_elderly,mun_share_adult,mun_max_tertiary,mun_max_secondary,mun_share_female
1011001101,3.830687830687831,49.15343915343915,.6349206349206349,.9841269841269841,.0158730158730159,0,.9947089947089947,.0052910052910053,.9947089947089947,.6031746031746031,.8571428571428571,.5978835978835979,0,.5978835978835979,.873015873015873,.9206349206349206,.9735449735449735,.2093936374420842,.0835474943200116,.7070588788027485,.5343915343915344,.417989417989418,.5395691667599652,1,4.050456028784202,45.01715911944421,.7552506066437955,.9906181940023454,.0092142737476964,.0061149271234713,.9690065337577484,.0292044310171198,.9974870162506283,.4041715530239571,.9129669961467582,.4141397218964651,0,.4411124141397219,.8614508292846373,.9417825431395543,.9823253476294187,.248758598233195,.0484852232861899,.702382440700829,.3650740523805539,.5841352188101414,.5031652245753161
1011001102,3.822429906542056,53.96261682242991,.6635514018691588,.9953271028037384,.0046728971962617,0,.985981308411215,0,1,.5607476635514018,.8738317757009346,.4953271028037383,0,.4672897196261682,.897196261682243,.9485981308411215,.9813084112149533,.1544781957413549,.1100207697774205,.7355010435681477,.4439252336448598,.4813084112149533,.5273865221816803,1,4.050456028784202,45.01715911944421,.7552506066437955,.9906181940023454,.0092142737476964,.0061149271234713,.9690065337577484,.0292044310171198,.9974870162506283,.4041715530239571,.9129669961467582,.4141397218964651,0,.4411124141397219,.8614508292846373,.9417825431395543,.9823253476294187,.248758598233195,.0484852232861899,.702382440700829,.3650740523805539,.5841352188101414,.5031652245753161
1011001103,4.057803468208093,52.67052023121387,.6994219653179191,.9941176470588236,.0058823529411765,0,1,0,1,.4,.8588235294117647,.3176470588235294,0,.3117647058823529,.8352941176470589,.9058823529411765,.9823529411764705,.2122951422123551,.1253324562328399,.6623724113310003,.2601156069364162,.653179190751445,.472325802021633,1,4.050456028784202,45.01715911944421,.7552506066437955,.9906181940023454,.0092142737476964,.0061149271234713,.9690065337577484,.0292044310171198,.9974870162506283,.4041715530239571,.9129669961467582,.4141397218964651,0,.4411124141397219,.8614508292846373,.9417825431395543,.9823253476294187,.248758598233195,.0484852232861899,.702382440700829,.3650740523805539,.5841352188101414,.5031652245753161
1011001104,3.969565217391304,52.64347826086956,.6739130434782609,.9912663755458515,.0087336244541485,0,1,0,1,.5196506550218341,.9170305676855895,.5021834061135371,0,.4890829694323144,.851528384279476,.9475982532751092,.9956331877729258,.1778364300727844,.1106678603136021,.7114957199796387,.4652173913043478,.4782608695652174,.4838485606986543,1,4.050456028784202,45.01715911944421,.7552506066437955,.9906181940023454,.0092142737476964,.0061149271234713,.9690065337577484,.0292044310171198,.9974870162506283,.4041715530239571,.9129669961467582,.4141397218964651,0,.4411124141397219,.8614508292846373,.9417825431395543,.9823253476294187,.248758598233195,.0484852232861899,.702382440700829,.3650740523805539,.5841352188101414,.5031652245753161
1011001105,3.842105263157895,52.34868421052632,.625,1,0,0,1,0,1,.506578947368421,.8223684210526315,.4539473684210527,0,.4144736842105263,.8552631578947368,.9671052631578947,.9868421052631579,.1772948022147542,.0997337105831033,.7196820239095312,.4144736842105263,.4868421052631579,.5445384376339222,1,4.050456028784202,45.01715911944421,.7552506066437955,.9906181940023454,.0092142737476964,.0061149271234713,.9690065337577484,.0292044310171198,.9974870162506283,.4041715530239571,.9129669961467582,.4141397218964651,0,.4411124141397219,.8614508292846373,.9417825431395543,.9823253476294187,.248758598233195,.0484852232861899,.702382440700829,.3650740523805539,.5841352188101414,.5031652245753161
1011001106,3.546546546546546,53.45345345345346,.6576576576576577,1,0,0,.996996996996997,0,1,.6156156156156156,.9069069069069069,.6186186186186187,0,.6276276276276276,.8798798798798799,.963963963963964,.972972972972973,.1408026183958168,.1484280081840607,.7107693826382583,.6096096096096096,.3663663663663664,.5007373735353395,1,4.050456028784202,45.01715911944421,.7552506066437955,.9906181940023454,.0092142737476964,.0061149271234713,.9690065337577484,.0292044310171198,.9974870162506283,.4041715530239571,.9129669961467582,.4141397218964651,0,.4411124141397219,.8614508292846373,.9417825431395543,.9823253476294187,.248758598233195,.0484852232861899,.702382440700829,.3650740523805539,.5841352188101414,.5031652245753161
1011001107,3.582352941176471,52.77647058823529,.6735294117647059,.9970588235294118,.0029411764705882,.0029411764705882,.9823529411764705,.005952380952381,1,.6,.8735294117647059,.5588235294117647,0,.5823529411764706,.8764705882352941,.9588235294117647,.9794117647058823,.1483333354487139,.1256897771183182,.7259768950588563,.5411764705882353,.4117647058823529,.502741602063179,1,4.050456028784202,45.01715911944421,.7552506066437955,.9906181940023454,.0092142737476964,.0061149271234713,.9690065337577484,.0292044310171198,.9974870162506283,.4041715530239571,.9129669961467582,.4141397218964651,0,.4411124141397219,.8614508292846373,.9417825431395543,.9823253476294187,.248758598233195,.0484852232861899,.702382440700829,.3650740523805539,.5841352188101414,.5031652245753161
1011001108,3.99009900990099,52.73267326732673,.6732673267326733,.995049504950495,.004950495049505,0,1,0,1,.5544554455445545,.8663366336633663,.4405940594059406,0,.4356435643564356,.8960396039603961,.9653465346534653,.9851485148514851,.1874292822610034,.1193914049406453,.6931793236791497,.3910891089108911,.5198019801980198,.5177962503368312,1,4.050456028784202,45.01715911944421,.7552506066437955,.9906181940023454,.0092142737476964,.0061149271234713,.9690065337577484,.0292044310171198,.9974870162506283,.4041715530239571,.9129669961467582,.4141397218964651,0,.4411124141397219,.8614508292846373,.9417825431395543,.9823253476294187,.248758598233195,.0484852232861899,.702382440700829,.3650740523805539,.5841352188101414,.5031652245753161
1011001109,4.296875,47.79166666666666,.8072916666666666,.9947643979057592,.0052356020942408,0,1,0,1,.5497382198952879,.9057591623036649,.5078534031413613,0,.4816753926701571,.8638743455497382,.9424083769633508,.9895287958115183,.2349419425396869,.0496734462600822,.7153846219492456,.4635416666666667,.484375,.5031938470589618,1,4.050456028784202,45.01715911944421,.7552506066437955,.9906181940023454,.0092142737476964,.0061149271234713,.9690065337577484,.0292044310171198,.9974870162506283,.4041715530239571,.9129669961467582,.4141397218964651,0,.4411124141397219,.8614508292846373,.9417825431395543,.9823253476294187,.248758598233195,.0484852232861899,.702382440700829,.3650740523805539,.5841352188101414,.5031652245753161
1011001110,4.457317073170731,50.52439024390244,.7073170731707317,1,0,0,.9939024390243902,.0060975609756098,1,.4695121951219512,.926829268292683,.3231707317073171,0,.3658536585365854,.8841463414634146,.9207317073170732,.9695121951219512,.1963426005549547,.0484538332263871,.7552035750775803,.274390243902439,.6707317073170732,.5076373902762809,1,4.050456028784202,45.01715911944421,.7552506066437955,.9906181940023454,.0092142737476964,.0061149271234713,.9690065337577484,.0292044310171198,.9974870162506283,.4041715530239571,.9129669961467582,.4141397218964651,0,.4411124141397219,.8614508292846373,.9417825431395543,.9823253476294187,.248758598233195,.0484852232861899,.702382440700829,.3650740523805539,.5841352188101414,.5031652245753161
