OID_,ADM2_PCODE,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
1,MX31001,1,1458.000000000000000,0.025312500405000,0.234343469142914,4.835997104644775,4.601653635501862,0.375155651479429,0.336241379252465,546.976939857007096,0.297286137938499,0.453296390175819
2,MX05001,2,3900.000000000000000,0.067708334416667,0.233517959713936,9.293897628784180,9.060379669070244,0.334802791392191,0.369304553462203,1305.730886429544398,0.299675211310387,0.342210423946381
3,MX11001,3,3062.000000000000000,0.053159723072778,0.405371934175491,29.071447372436523,28.666075438261032,1.403030353918877,2.011971652504744,4296.078943699601950,0.872147679328918,2.454594397544861
4,MX19001,4,239.000000000000000,0.004149305621944,0.543608963489532,9.591356277465820,9.047747313976288,1.420318672098375,1.366255666034176,339.456162631511688,0.911445260047913,2.670292711257936
5,MX28001,5,9508.000000000000000,0.165069447085556,0.206828892230988,8.996601104736328,8.789772212505341,0.273098873923469,0.237100529232040,2596.624093264342264,0.250788003206253,0.275117722153664
6,MX20001,6,616.000000000000000,0.010694444615556,0.183421880006790,2.639573335647583,2.456151455640793,0.260975821669419,0.186272422740266,160.761106148362217,0.229157097637653,0.262750998139381
7,MX07001,7,1207.000000000000000,0.020954861446389,0.181813731789589,10.461307525634766,10.279493793845177,0.471831542628801,0.773971066759033,569.500671952962762,0.265740394592285,0.735516679286957
8,MX21001,8,869.000000000000000,0.015086805796944,0.394004106521606,20.886388778686523,20.492384672164917,2.505381443352364,3.286396944222213,2177.176474273204349,1.055204153060913,7.349817562103272
9,MX30001,9,483.000000000000000,0.008385416800833,0.274788856506348,3.439028739929199,3.164239883422852,0.531529637288849,0.429280253780491,256.728814810514166,0.378133088350296,0.904229450225830
10,MX07002,10,2342.000000000000000,0.040659722872778,0.247649982571602,14.312091827392578,14.064441844820976,0.526451884434072,0.857726771796479,1232.950313344595997,0.357645928859711,0.655429118871689
11,MX11002,11,4363.000000000000000,0.075746528989722,0.322227150201797,30.330015182495117,30.007788032293320,1.005248122284400,1.966626360750582,4385.897557526837772,0.505358278751373,1.707292985916142
12,MX15001,12,2356.000000000000000,0.040902778432222,0.339808136224747,19.976795196533203,19.636987060308456,1.132337808609008,1.347263556221695,2667.787877082821979,0.722824871540070,2.235092997550964
