HID_mun,fgt0_bias_reg,fgt0_mse,simulation,method_des
1161035,-.26925668,.0725478095524179,15,XGBoost(hh) Mun
1161036,-.24003285,.0576244258111514,15,XGBoost(hh) Mun
1161037,-.41299066,.1705954510124994,15,XGBoost(hh) Mun
1161038,-.19619717,.0385328035290439,15,XGBoost(hh) Mun
1161039,-.14701214,.021702753412439,15,XGBoost(hh) Mun
1161040,-.20715183,.0429693662119692,15,XGBoost(hh) Mun
1161041,-.29367647,.0862763972436049,15,XGBoost(hh) Mun
1161042,-.19848499,.0394246150291813,15,XGBoost(hh) Mun
1161043,-.047911637,.0023171023368254,15,XGBoost(hh) Mun
1161044,-.31653404,.1002083033330112,15,XGBoost(hh) Mun
1161045,-.1420013,.0201748353067864,15,XGBoost(hh) Mun
1161046,-.37764609,.1426502523841006,15,XGBoost(hh) Mun
1161047,-.34859759,.1215716115264634,15,XGBoost(hh) Mun
1161048,-.14526388,.0211320543449513,15,XGBoost(hh) Mun
1161049,-.23733313,.0563813450461402,15,XGBoost(hh) Mun
1161050,-.28179991,.0794555619057604,15,XGBoost(hh) Mun
1161051,-.095112734,.0090518764496107,15,XGBoost(hh) Mun
1161052,-.043986816,.0019376263017768,15,XGBoost(hh) Mun
1161053,-.10094212,.0101932775325376,15,XGBoost(hh) Mun
1161054,-.35102186,.1232559766565874,15,XGBoost(hh) Mun
1161055,-.11554477,.0133668143333216,15,XGBoost(hh) Mun
1161056,-.15236595,.0235959876683469,15,XGBoost(hh) Mun
1161057,-.24079646,.0580377293418188,15,XGBoost(hh) Mun
1161058,-.085287578,.0072894884122348,15,XGBoost(hh) Mun
1161059,-.165944,.0275705173899101,15,XGBoost(hh) Mun
1161060,-.19429113,.0377792836638666,15,XGBoost(hh) Mun
1161061,-.13564207,.0186045990166109,15,XGBoost(hh) Mun
1161062,-.23826183,.0568113244258082,15,XGBoost(hh) Mun
1161063,-.36810333,.1355448152995422,15,XGBoost(hh) Mun
1161064,-.16297233,.026612282610385,15,XGBoost(hh) Mun
1161065,-.15054971,.022757286573613,15,XGBoost(hh) Mun
1161066,-.19164824,.0367603157768628,15,XGBoost(hh) Mun
1161067,-.3845734,.1479458552384828,15,XGBoost(hh) Mun
1161068,-.030191395,.0009268040705855,15,XGBoost(hh) Mun
1161069,-.13830355,.0191352606090407,15,XGBoost(hh) Mun
1161070,-.14522368,.0210967741500409,15,XGBoost(hh) Mun
1161071,-.30239958,.0914692744390069,15,XGBoost(hh) Mun
1161072,-.26457936,.0700260257167698,15,XGBoost(hh) Mun
1161073,-.19412996,.0377496666301457,15,XGBoost(hh) Mun
1161074,-.24518313,.060141034728943,15,XGBoost(hh) Mun
1161075,-.045688473,.0021089646133026,15,XGBoost(hh) Mun
1161076,-.10233244,.0104814879501393,15,XGBoost(hh) Mun
1161077,-.29538262,.0872789824798342,15,XGBoost(hh) Mun
1161078,-.30651605,.0939772259264272,15,XGBoost(hh) Mun
1161079,-.16874813,.0285786358843945,15,XGBoost(hh) Mun
1161080,-.22110903,.0489851875061749,15,XGBoost(hh) Mun
1161081,-.45179141,.2042515724520758,15,XGBoost(hh) Mun
1161082,-.094412938,.0089398710561131,15,XGBoost(hh) Mun
1161083,-.023326701,.0005971119880519,15,XGBoost(hh) Mun
1161084,-.14132433,.0200908919674909,15,XGBoost(hh) Mun
1161085,-.079049565,.0062819229713522,15,XGBoost(hh) Mun
