OID_,ADM2_PCODE,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,PCT90
1,M,1,1458.000000000000000,0.025312500405000,0.085528917610645,4.655634880065918,4.570105962455273,0.198442241312382,0.309330760275587,289.328787833452282,,,,0.131501950323582,0.242704932391644
2,M,2,3900.000000000000000,0.067708334416667,0.074378713965416,6.603661537170410,6.529282823204994,0.170288638980725,0.265265487615225,664.125692024826776,,,,0.148462399840355,0.194763335585594
3,M,3,3062.000000000000000,0.053159723072778,0.213159218430519,33.900733947753906,33.687574729323387,1.139714172974976,2.138048733900227,3489.804797649376724,,,,0.632701575756073,2.044063615798951
4,M,4,239.000000000000000,0.004149305621944,0.361708402633667,11.224971771240234,10.863263368606567,1.200674356401715,1.513796396355531,286.961171180009785,,,,0.652711391448975,2.926581668853760
5,M,5,9508.000000000000000,0.165069447085556,0.052889626473188,8.515080451965332,8.462190825492144,0.120816118280972,0.222041830883605,1148.719652615484847,,,,0.101604886353016,0.122821328043938
6,M,6,616.000000000000000,0.010694444615556,0.031642507761717,4.477516651153564,4.445874143391848,0.111458089982776,0.294225635092944,68.658183429390164,,,,0.063921671360731,0.104741133749485
7,M,7,1207.000000000000000,0.020954861446389,0.039549250155687,13.104717254638672,13.065168004482985,0.358232665066271,0.864806387938198,432.386826734989711,,,,0.126129642128944,0.642911326885224
8,M,8,869.000000000000000,0.015086805796944,0.232053846120834,27.197641372680664,26.965587526559830,2.651054907328650,4.039593784629202,2303.766714468597002,,,,0.938353836536407,8.658626937866217
9,M,9,483.000000000000000,0.008385416800833,0.133606627583504,3.422983407974243,3.289376780390739,0.410062639887289,0.430058933332734,198.060255065560398,,,,0.250134468078613,0.851783442497253
10,M,10,2342.000000000000000,0.040659722872778,0.091017305850983,12.345875740051270,12.254858434200287,0.352260875575289,0.741362051163319,824.994970597327210,,,,0.190101824700832,0.527241688966751
11,M,11,4363.000000000000000,0.075746528989722,0.139590635895729,31.515867233276367,31.376276597380638,0.856037317511140,2.207202217762387,3734.890816301102859,,,,0.304628670215607,1.582497501373291
12,M,12,2356.000000000000000,0.040902778432222,0.162227243185043,14.867302894592285,14.705075651407242,0.775462277233601,0.990612881777767,1826.989125162363052,,,,0.448719784617424,1.690041303634644
13,M,13,691.000000000000000,0.011996527969722,0.121186919510365,13.021681785583496,12.900494866073132,0.708090178107818,1.346639486590218,489.290313072502101,,,,0.323671430349350,1.225962638854980
14,M,14,2609.000000000000000,0.045295139613611,0.024037400260568,11.030740737915039,11.006703337654471,0.321500667689625,0.620689521182082,838.795242002232044,,,,0.200718820095062,0.576815080642700
15,M,15,7160.000000000000000,0.124305557544444,0.038062069565058,30.787214279174805,30.749152209609747,0.240894842559898,1.176115994429404,1724.807072728867524,,,,0.101265039294958,0.251889696717262
16,M,16,8405.000000000000000,0.145920141223611,0.059914827346802,55.137298583984375,55.077383756637573,2.625004484685297,6.850268151922302,22063.162693779922847,,,,0.310327112674713,6.398995971679691
17,M,17,900.000000000000000,0.015625000250000,0.136891111731529,2.790881156921387,2.653990045189857,0.238592973897855,0.193596169479361,214.733676508069408,,,,0.192823454737663,0.325615662336349
18,M,18,3089.000000000000000,0.053628473080278,0.036344476044178,13.828626632690430,13.792282156646252,0.329431308001068,0.658287716261262,1017.613310415299111,,,,0.158742219209671,0.657994067668915
19,M,19,1695.000000000000000,0.029427083804167,0.158741772174835,18.728849411010742,18.570107638835907,0.749273513806956,1.435844942733543,1270.018605902790341,,,,0.398949295282364,1.186321949958802
20,M,20,1202.000000000000000,0.020868055889444,0.134569391608238,7.908911228179932,7.774341836571693,0.872270295529715,0.980169528658354,1048.468895226717905,,,,0.524766594171524,1.886321759223939
21,M,21,2998.000000000000000,0.052048611943889,0.045358277857304,14.316819190979004,14.271460913121700,0.319870206315550,0.835837780158121,958.970878534019675,,,,0.123918604105711,0.460923492908478
22,M,22,91.000000000000000,0.001579861136389,0.178769096732140,6.617818355560303,6.439049258828163,0.738103149520172,1.163019694753421,67.167386606335640,,,,0.275026708841324,1.703312039375305
23,M,23,766.000000000000000,0.013298611323889,0.258046478033066,53.903915405273438,53.645868927240372,1.756809036896682,4.487416419491583,1345.715722262858662,,,,0.519557923078537,3.474245786666870
24,M,24,3714.000000000000000,0.064479167698333,0.080298930406570,10.103384971618652,10.023086041212082,0.383664089395962,0.644464537946141,1424.928428016603675,,,,0.217477858066559,0.647060459852219
25,M,25,691.000000000000000,0.011996527969722,0.216853827238083,26.142259597778320,25.925405770540237,1.978735469206196,3.599666618255291,1367.306209221481595,,,,0.561275720596313,5.201401710510254
